17:05:55:284	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x67666e018254150a690ef4eb58b990471bf471213a5e27eb681115993cbcbf7a","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ee"]}

17:05:55:284	edadb700	parse packet: 247
17:05:55:284	edadb700	ETH: job is the same
17:05:55:284	edadb700	new buf size: 0
17:05:57:578	edadb700	got 248 bytes
17:05:57:578	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0xc7347b30d8bfff3f8f0e2d22dda0c001739ec47fb460032e60994116be0c2fbf","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ef"]}

17:05:57:578	edadb700	parse packet: 247
17:05:57:578	edadb700	ETH: job changed
17:05:57:578	edadb700	new buf size: 0
17:05:57:583	edadb700	ETH: 05/15/17-17:05:57 - New job from eu1.ethermine.org:4444
17:05:57:583	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:05:57:585	edadb700	ETH - Total Speed: 21.857 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
17:05:57:586	edadb700	ETH: GPU0 21.857 Mh/s
17:06:05:198	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d929c", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:06:05:201	edadb700	ETH: checking pool connection...
17:06:05:202	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:06:05:280	edadb700	got 39 bytes
17:06:05:280	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:06:05:280	edadb700	parse packet: 38
17:06:05:280	edadb700	new buf size: 0
17:06:05:363	edadb700	got 248 bytes
17:06:05:363	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0xc7347b30d8bfff3f8f0e2d22dda0c001739ec47fb460032e60994116be0c2fbf","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ef"]}

17:06:05:363	edadb700	parse packet: 247
17:06:05:364	edadb700	ETH: job is the same
17:06:05:364	edadb700	new buf size: 0
17:06:06:295	edadb700	got 248 bytes
17:06:06:295	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x5f6fadff13fe99f7ffc294f2621c476bb3696051a4372a96e7024426e8f7e333","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0f0"]}

17:06:06:295	edadb700	parse packet: 247
17:06:06:295	edadb700	ETH: job changed
17:06:06:295	edadb700	new buf size: 0
