18:38:31:425	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:31:513	761f2700	got 248 bytes
18:38:31:513	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x434acbd8774ffeba699717031bb5496e16d255b3b67d274216151699b3246d5d","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25e"]}

18:38:31:513	761f2700	parse packet: 247
18:38:31:513	761f2700	ETH: job is the same
18:38:31:513	761f2700	new buf size: 0
18:38:40:321	761f2700	got 248 bytes
18:38:40:321	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0x3908d3579117c93763d77edfb31da96e6b0975ac9bb25e32545436f1a58ae6e7","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25f"]}

18:38:40:321	761f2700	parse packet: 247
18:38:40:321	761f2700	ETH: job changed
18:38:40:321	761f2700	new buf size: 0
18:38:40:326	761f2700	ETH: 05/15/17-18:38:40 - New job from eu1.ethermine.org:4444
18:38:40:326	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:38:40:328	761f2700	ETH - Total Speed: 21.859 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
18:38:40:330	761f2700	ETH: GPU0 21.859 Mh/s
18:38:41:372	86311740	GPU0 t=62C fan=49%
18:38:41:372	86311740	em hbt: 1, fm hbt: 26, 
18:38:41:372	86311740	watchdog - thread 0, hb time 87
18:38:41:372	86311740	watchdog - thread 1, hb time 303
18:38:41:421	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8f0d", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:38:41:426	761f2700	ETH: checking pool connection...
18:38:41:426	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:41:503	761f2700	got 39 bytes
18:38:41:503	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:38:41:503	761f2700	parse packet: 38
18:38:41:503	761f2700	new buf size: 0
18:38:41:584	761f2700	got 248 bytes
18:38:41:584	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x3908d3579117c93763d77edfb31da96e6b0975ac9bb25e32545436f1a58ae6e7","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25f"]}

18:38:41:584	761f2700	parse packet: 247
18:38:41:584	761f2700	ETH: job is the same
18:38:41:584	761f2700	new buf size: 0
18:38:51:428	761f2700	ETH: checking pool connection...
18:38:51:428	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:51:510	761f2700	got 248 bytes
18:38:51:511	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x3908d3579117c93763d77edfb31da96e6b0975ac9bb25e32545436f1a58ae6e7","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25f"]}

18:38:51:511	761f2700	parse packet: 247
18:38:51:511	761f2700	ETH: job is the same
18:38:51:511	761f2700	new buf size: 0
18:38:53:888	761f2700	got 248 bytes
18:38:53:888	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0x8bc4c3cdeb167b96a19f333f1a261bdef669c9528d799b832c44986481a8496d","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a261"]}

18:38:53:888	761f2700	parse packet: 247
18:38:53:888	761f2700	ETH: job changed
18:38:53:888	761f2700	new buf size: 0
18:38:53:894	761f2700	ETH: 05/15/17-18:38:53 - New job from eu1.ethermine.org:4444
18:38:53:894	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:38:53:896	761f2700	ETH - Total Speed: 21.857 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:02
18:38:53:898	761f2700	ETH: GPU0 21.857 Mh/s
18:39:01:422	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8a4d", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:39:01:430	761f2700	ETH: checking pool connection...
18:39:01:430	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:39:01:504	761f2700	got 39 bytes
18:39:01:504	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:39:01:505	761f2700	parse packet: 38
18:39:01:505	761f2700	new buf size: 0
18:39:01:587	761f2700	got 248 bytes
18:39:01:587	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x8bc4c3cdeb167b96a19f333f1a261bdef669c9528d799b832c44986481a8496d","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a261"]}

18:39:01:587	761f2700	parse packet: 247
18:39:01:587	761f2700	ETH: job is the same
